Table名稱,市場,面向,類別,樣本
日收盤表排行,台灣,技術面,"交易, 價量",上市櫃股票
日收盤還原表排行,台灣,技術面,"交易, 價量",上市櫃股票
季股利政策表,台灣,基本面,股利,上市櫃股票
上市櫃公司基本資料,台灣,基本面,基本資料,上市櫃股票
美股日收盤還原表排行,美國,籌碼面,"交易, 價量",上市櫃股票
季IFRS財報(總表),台灣,基本面,"財報, 總表",上市櫃股票
投信基金基本資料表,台灣,基本面,基本資料,投信基金
股利政策表,台灣,基本面,股利,上市櫃股票
投信基金日淨值,台灣,籌碼面,交易,投信基金
日常用技術指標表,台灣,技術面,"交易, 指標",上市櫃股票
日收盤還原表排行(還原分紅),台灣,技術面,"交易, 價量",上市櫃股票
填權息統計表(收盤價),台灣,基本面,股利,上市櫃股票
月營收(成長與達成率),台灣,基本面,"財報, 營收",上市櫃股票
日個股屬性評分表,台灣,籌碼面,交易,上市櫃股票
ETF基本資料表,台灣,基本面,基本資料,ETF
權證基本資料表,台灣,基本面,基本資料,權證
海外基金配息資訊,台灣,基本面,股利,海外基金
ETF持股明細表,台灣,籌碼面,"交易, 持股",ETF
原物料資料表(日),台灣,籌碼面,交易,原物料
券商分點個股進出統計,,,,
日外資持股與排行,台灣,籌碼面,"三大法人, 外資",上市櫃股票
日融資券排行,台灣,籌碼面,"交易, 融資券",上市櫃股票
主要股東名單,台灣,基本面,"股權結構, 股東",上市櫃股票
權證評估表,台灣,籌碼面,"交易, 價量",權證
月董監持股與設質明細,台灣,基本面,"股權結構, 董監",上市櫃股票
投信基金配息資訊,台灣,基本面,股利,投信基金
可轉公司債基本資料,台灣,基本面,基本資料,債券
券商分點進出個股明細,台灣,籌碼面,券商,上市櫃股票
ETF收益分配明細表,台灣,基本面,股利,ETF
日T30盤前漲跌幅度,台灣,籌碼面,交易,上市櫃股票
季IFRS財報(資產負債),台灣,基本面,"財報, 資產負債",上市櫃股票
年IFRS財報(損益),台灣,基本面,"財報, 損益",上市櫃股票
日投信明細與排行,台灣,籌碼面,"三大法人, 投信",上市櫃股票
日法人持股估計,台灣,籌碼面,"三大法人, 外資, 自營商, 投信",上市櫃股票
季IFRS財報(現金流量單季),台灣,基本面,"財報, 現金流量",上市櫃股票
週收盤表排行,台灣,籌碼面,"交易, 價量",上市櫃股票
三大法人買賣超,台灣,籌碼面,"三大法人, 外資, 自營商, 投信",上市櫃股票
日自營商進出排行,台灣,籌碼面,"三大法人, 自營商",上市櫃股票
季IFRS財報(損益單季),台灣,基本面,"財報, 損益",上市櫃股票
ETF折溢價表,台灣,籌碼面,交易,ETF
季IFRS財報(財務比率),台灣,基本面,"財報, 財務比率",上市櫃股票
日券商分點排行Top15,台灣,籌碼面,券商,上市櫃股票
日投資評等表,台灣,技術面,機構評等,上市櫃股票
日常用技術指標表_均線(非還原),台灣,技術面,"交易, 指標, 均線",上市櫃股票
日當日沖銷交易,台灣,籌碼面,"交易, 當沖",上市櫃股票
